Year,UNITID,FACSTAT,ARANK,HRTOTLT,HRTOTLM,HRTOTLW
2021,100654,0,0,208,104,104
2021,100654,10,0,205,103,102
2021,100654,10,1,39,32,7
2021,100654,10,2,36,20,16
2021,100654,10,3,84,35,49
2021,100654,10,4,46,16,30
2021,100654,20,0,71,49,22
2021,100654,20,1,37,30,7
2021,100654,20,2,23,12,11
2021,100654,20,3,7,3,4
2021,100654,20,4,4,4,0
2021,100654,30,0,53,21,32
2021,100654,30,2,9,4,5
2021,100654,30,3,43,16,27
2021,100654,30,4,1,1,0
2021,100654,40,0,81,33,48
2021,100654,40,1,2,2,0
2021,100654,40,2,4,4,0
2021,100654,40,3,34,16,18
2021,100654,40,4,41,11,30
2021,100654,42,0,81,33,48
2021,100654,42,1,2,2,0
2021,100654,42,2,4,4,0
2021,100654,42,3,34,16,18
2021,100654,42,4,41,11,30
2021,100654,50,0,3,1,2
2021,100663,0,0,2603,1449,1154
2021,100663,10,0,2603,1449,1154
2021,100663,10,1,746,503,243
2021,100663,10,2,720,410,310
2021,100663,10,3,933,452,481
2021,100663,10,4,204,84,120
2021,100663,20,0,883,589,294
2021,100663,20,1,592,419,173
2021,100663,20,2,290,170,120
2021,100663,20,3,1,0,1
2021,100663,30,0,542,287,255
2021,100663,30,1,12,3,9
2021,100663,30,2,125,71,54
2021,100663,30,3,405,213,192
2021,100663,40,0,1178,573,605
2021,100663,40,1,142,81,61
2021,100663,40,2,305,169,136
2021,100663,40,3,527,239,288
2021,100663,40,4,204,84,120
2021,100663,42,0,1178,573,605
2021,100663,42,1,142,81,61
2021,100663,42,2,305,169,136
2021,100663,42,3,527,239,288
2021,100663,42,4,204,84,120
2021,100690,0,0,34,29,5
2021,100690,10,0,34,29,5
2021,100690,10,1,12,10,2
2021,100690,10,2,10,9,1
2021,100690,10,3,10,8,2
2021,100690,10,4,2,2,0
2021,100690,40,0,34,29,5
2021,100690,40,1,12,10,2
2021,100690,40,2,10,9,1
2021,100690,40,3,10,8,2
2021,100690,40,4,2,2,0
2021,100690,42,0,29,24,5
2021,100690,42,1,10,8,2
2021,100690,42,2,9,8,1
2021,100690,42,3,8,6,2
2021,100690,42,4,2,2,0
2021,100690,43,0,5,5,0
2021,100690,43,1,2,2,0
2021,100690,43,2,1,1,0
2021,100690,43,3,2,2,0
2021,100706,0,0,351,188,163
2021,100706,10,0,351,188,163
2021,100706,10,1,73,59,14
2021,100706,10,2,96,64,32
2021,100706,10,3,91,37,54
2021,100706,10,4,16,1,15
2021,100706,10,5,75,27,48
2021,100706,20,0,158,119,39
2021,100706,20,1,72,59,13
2021,100706,20,2,85,60,25
2021,100706,20,3,1,0,1
2021,100706,30,0,62,33,29
2021,100706,30,2,4,2,2
2021,100706,30,3,58,31,27
2021,100706,40,0,131,36,95
2021,100706,40,1,1,0,1
2021,100706,40,2,7,2,5
2021,100706,40,3,32,6,26
2021,100706,40,4,16,1,15
2021,100706,40,5,75,27,48
2021,100706,41,0,125,35,90
2021,100706,41,1,1,0,1
2021,100706,41,2,7,2,5
2021,100706,41,3,32,6,26
2021,100706,41,4,14,1,13
2021,100706,41,5,71,26,45
2021,100706,42,0,6,1,5
2021,100706,42,4,2,0,2
2021,100706,42,5,4,1,3
2021,100706,44,0,125,35,90
2021,100706,44,1,1,0,1
2021,100706,44,2,7,2,5
2021,100706,44,3,32,6,26
2021,100706,44,4,14,1,13
2021,100706,44,5,71,26,45
2021,100724,0,0,215,110,105
2021,100724,10,0,211,110,101
2021,100724,10,1,62,37,25
2021,100724,10,2,54,27,27
2021,100724,10,3,64,35,29
2021,100724,10,4,31,11,20
2021,100724,20,0,107,57,50
2021,100724,20,1,62,37,25
2021,100724,20,2,42,19,23
2021,100724,20,3,3,1,2
2021,100724,30,0,60,38,22
2021,100724,30,2,10,7,3
2021,100724,30,3,50,31,19
2021,100724,40,0,44,15,29
2021,100724,40,2,2,1,1
2021,100724,40,3,11,3,8
2021,100724,40,4,31,11,20
2021,100724,42,0,44,15,29
2021,100724,42,2,2,1,1
2021,100724,42,3,11,3,8
2021,100724,42,4,31,11,20
2021,100724,50,0,4,0,4
2021,100751,0,0,1557,835,722
2021,100751,10,0,1557,835,722
2021,100751,10,1,334,232,102
2021,100751,10,2,403,229,174
2021,100751,10,3,479,224,255
2021,100751,10,4,339,148,191
2021,100751,10,5,2,2,0
2021,100751,20,0,631,407,224
2021,100751,20,1,303,217,86
2021,100751,20,2,325,189,136
2021,100751,20,3,3,1,2
2021,100751,30,0,369,200,169
2021,100751,30,1,18,10,8
2021,100751,30,2,23,18,5
2021,100751,30,3,328,172,156
2021,100751,40,0,557,228,329
2021,100751,40,1,13,5,8
2021,100751,40,2,55,22,33
2021,100751,40,3,148,51,97
2021,100751,40,4,339,148,191
2021,100751,40,5,2,2,0
2021,100751,42,0,554,227,327
2021,100751,42,1,13,5,8
2021,100751,42,2,55,22,33
2021,100751,42,3,146,50,96
2021,100751,42,4,338,148,190
2021,100751,42,5,2,2,0
2021,100751,43,0,3,1,2
2021,100751,43,3,2,1,1
2021,100751,43,4,1,0,1
2021,100760,0,0,41,18,23
2021,100760,10,0,37,15,22
2021,100760,10,6,37,15,22
2021,100760,20,0,30,15,15
2021,100760,20,6,30,15,15
2021,100760,30,0,5,0,5
2021,100760,30,6,5,0,5
2021,100760,40,0,2,0,2
2021,100760,40,6,2,0,2
2021,100760,42,0,2,0,2
2021,100760,42,6,2,0,2
2021,100760,50,0,4,3,1
2021,100812,0,0,81,38,43
2021,100812,10,0,81,38,43
2021,100812,10,1,26,14,12
2021,100812,10,2,22,5,17
2021,100812,10,3,30,16,14
2021,100812,10,4,3,3,0
2021,100812,20,0,51,22,29
2021,100812,20,1,26,14,12
2021,100812,20,2,20,4,16
2021,100812,20,3,5,4,1
2021,100812,30,0,27,13,14
2021,100812,30,2,2,1,1
2021,100812,30,3,25,12,13
2021,100812,40,0,3,3,0
2021,100812,40,4,3,3,0
2021,100812,42,0,3,3,0
2021,100812,42,4,3,3,0
2021,100830,0,0,223,111,112
2021,100830,10,0,217,107,110
2021,100830,10,1,51,33,18
2021,100830,10,2,57,36,21
2021,100830,10,3,67,25,42
2021,100830,10,4,1,0,1
2021,100830,10,5,41,13,28
2021,100830,20,0,106,70,36
2021,100830,20,1,51,33,18
2021,100830,20,2,49,35,14
